"incidents" "year" "type" "service"
"1" 2 1 "A" 7
"2" 4 1 "B" 13
"3" 2 1 "C" 13
"4" 2 1 "D" 9
"5" 2 1 "A" 13
"6" 1 1 "B" 10
"7" 2 1 "C" 10
"8" 3 1 "D" 10
"9" 0 1 "A" 8
"10" 5 1 "B" 10
"11" 0 1 "C" 5
"12" 5 1 "D" 12
"13" 5 1 "A" 15
"14" 5 1 "B" 11
"15" 1 1 "C" 10
"16" 2 1 "D" 8
"17" 4 1 "A" 9
"18" 4 1 "B" 12
"19" 2 2 "C" 13
"20" 1 2 "D" 13
"21" 3 2 "A" 16
"22" 3 2 "B" 12
"23" 1 2 "C" 13
"24" 4 2 "D" 15
"25" 1 2 "A" 15
"26" 9 2 "B" 17
"27" 0 2 "C" 18
"28" 10 2 "D" 28
"29" 5 2 "A" 21
"30" 2 2 "B" 9
"31" 4 2 "C" 20
"32" 3 2 "D" 10
"33" 10 2 "A" 19
"34" 2 2 "B" 13
"35" 5 2 "C" 19
"36" 7 2 "D" 19
"37" 4 2 "A" 10
"38" 5 2 "B" 12
"39" 3 3 "C" 20
"40" 8 3 "D" 18
"41" 3 3 "A" 14
"42" 3 3 "B" 13
"43" 2 3 "C" 25
"44" 3 3 "D" 20
"45" 6 3 "A" 28
"46" 3 3 "B" 17
"47" 2 3 "C" 15
"48" 2 3 "D" 15
"49" 2 3 "A" 13
"50" 2 3 "B" 17
"51" 5 3 "C" 19
"52" 4 3 "D" 22
"53" 3 3 "A" 27
"54" 2 3 "B" 17
"55" 3 3 "C" 19
"56" 3 3 "D" 18
"57" 6 3 "A" 18
"58" 3 3 "B" 14
"59" 2 3 "C" 14
"60" 5 3 "D" 30
